discente,periodoano,media_c1,faltas_c1,media_pre,faltas_pre,media_vga,faltas_vga,descricao_c3
b3f1bbd1657ba75df7daa2e41dc94f9c,20151,1.6,0.0,6.7,10.0,1.9,0.0,NÃO PRESENTE
1454af247e2b05c17842495c6c80111c,20151,7.3,0.0,3.9,0.0,6.9,0.0,APROVADO POR NOTA
3c2d63dfb6bd2181a57d26628bf849eb,20151,2.5,0.0,0.6,0.0,0.3,0.0,NÃO PRESENTE
0bed137d32aa677a7ca894d3962e82f6,20151,2.1,0.0,2.3,0.0,2.7,0.0,NÃO PRESENTE
880e9f35faaddaa9b5368c2bb7be899c,20151,0.5,0.0,2.3,10.0,0.2,0.0,NÃO PRESENTE
9a6adc4c978661aa4308d50e6d706d6c,20151,0.0,0.0,7.2,12.0,1.7,0.0,NÃO PRESENTE
9a21c21ed042727d913edd47b3ec4933,20151,1.4,0.0,1.6,14.0,4.6,14.0,NÃO PRESENTE
785135bfc9343ef41290d0a9dc85deb2,20151,0.9,0.0,3.3,0.0,0.0,0.0,NÃO PRESENTE
5b4b0f73dfddef54779bdcc0ef1c52cc,20151,0.4,0.0,1.8,0.0,0.3,0.0,NÃO PRESENTE
0de702954a778f1455e0e9bde6ad0162,20151,0.8,0.0,1.8,0.0,0.6,4.0,NÃO PRESENTE
f35cfdc1409ae041956dfbb95c1e2f49,20151,1.0,0.0,0.9,0.0,0.4,6.0,NÃO PRESENTE
09286181e6c14c9360293e4ce804053f,20151,5.0,0.0,5.4,0.0,6.1,2.0,APROVADO
b743e146e339f2f9fbd59540ca0dd555,20151,2.4,0.0,7.7,0.0,4.5,0.0,NÃO PRESENTE
228c2cbb32843a6f127643907ae10ded,20151,8.3,0.0,6.1,2.0,8.0,8.0,NÃO PRESENTE
b1672c8a49690e4c16174587858cc017,20151,6.7,0.0,5.0,2.0,6.1,4.0,APROVADO POR NOTA
02209f809703ce8fd6cde21455f66f00,20151,2.4,0.0,1.1,2.0,0.0,22.0,NÃO PRESENTE
6fc10c59fbbc99d9461e69d18779915a,20151,7.2,0.0,4.0,2.0,7.2,14.0,NÃO PRESENTE
404b3ea5424f3d391b6536957cad7481,20151,1.5,0.0,2.1,0.0,1.4,0.0,NÃO PRESENTE
9953bc66fd2a0227bf89c10a31d1f0a3,20151,9.0,0.0,5.2,2.0,7.9,2.0,APROVADO
25261f50937a50d7d9a2899852c4e637,20151,8.8,0.0,5.0,2.0,8.5,2.0,APROVADO
8062384ff88071751cc014720c88cf10,20151,6.3,0.0,5.6,0.0,5.7,0.0,NÃO PRESENTE
08f55a0b68dfecffa8d9add360ef7d10,20151,7.0,0.0,7.4,0.0,7.1,0.0,REPROVADO
8dadf341df1b7f0e433bce2bfe1a6c5f,20151,7.8,0.0,3.8,0.0,5.2,4.0,APROVADO POR NOTA
4f918bc31d89ee2ee8ea4e5c6eb8310e,20151,5.1,0.0,8.6,0.0,5.7,0.0,REPROVADO
34e6b4c97074b88503ec7869275cd3d0,20151,5.5,0.0,2.3,2.0,6.9,10.0,NÃO PRESENTE
e2646161ab3fa3a43f973916d8f57625,20151,0.5,0.0,1.3,0.0,1.8,2.0,NÃO PRESENTE
4db6e30e067a7d2616eef9c2cad0b094,20151,6.2,0.0,8.1,0.0,6.4,0.0,NÃO PRESENTE
fcdd9d540665adf10ee064853c3feec0,20151,8.5,0.0,5.2,0.0,8.6,4.0,APROVADO
c8eda6be812416b3a0cead3b3140a74d,20151,6.3,0.0,7.5,0.0,3.3,0.0,NÃO PRESENTE
664b6e8fa25e24545f661ca4144d55a9,20151,0.0,0.0,0.0,20.0,0.0,46.0,NÃO PRESENTE
9a41448579d211311cb4295be5bc85df,20151,0.0,0.0,1.2,0.0,0.0,0.0,NÃO PRESENTE
65608921662906a36e76d592210c8906,20151,1.2,0.0,1.9,4.0,1.8,10.0,NÃO PRESENTE
faf63b82ed90e7789ee7cbcb5e97b3d9,20151,0.0,0.0,0.0,0.0,0.0,6.0,NÃO PRESENTE
c23e5219bb78043ceea71ab6be223057,20151,0.0,0.0,2.1,4.0,1.2,36.0,NÃO PRESENTE
13b68b56441b44c4ff1128575a8e41d4,20151,0.2,0.0,0.1,0.0,0.4,0.0,NÃO PRESENTE
55c3042b375d3530077b5a3fabadd05e,20151,3.4,0.0,3.3,0.0,2.2,8.0,NÃO PRESENTE
503cc541d7e0b9a6aa7e2a51b1a82fd6,20151,3.7,0.0,6.3,0.0,3.8,0.0,NÃO PRESENTE
01a14c6b28d73acc8bb206aa3e1e15b9,20151,0.2,0.0,0.3,10.0,0.2,18.0,NÃO PRESENTE
fc1301a86464788f5560df27eaa66def,20151,4.0,0.0,5.2,0.0,3.8,0.0,NÃO PRESENTE
a2761a100c7a882ef3ccdfc30c2bba60,20151,3.0,0.0,5.0,0.0,0.2,24.0,NÃO PRESENTE
5e925b6d72c4fb74597d63a7d0572591,20151,2.2,0.0,5.5,0.0,4.1,0.0,NÃO PRESENTE
e19c9fafff970016e1121d174d428c04,20151,6.7,0.0,7.4,0.0,6.8,0.0,REPROVADO
129e1c04f5315c5987560ea8f4219a5e,20151,2.2,0.0,3.0,0.0,4.0,0.0,NÃO PRESENTE
97fca95dd64acf9016f9727fdf3501c7,20151,1.1,0.0,1.4,0.0,0.1,0.0,NÃO PRESENTE
75dcc20ba1ba2341644589858d07bbdd,20151,0.5,0.0,0.8,0.0,1.6,0.0,NÃO PRESENTE
7a864d66b5d173dee6db8ead2fb0fb04,20151,0.0,0.0,0.0,30.0,0.0,46.0,NÃO PRESENTE
88c328c3baabafcac301115230e71d5d,20151,1.0,0.0,1.8,0.0,1.4,2.0,NÃO PRESENTE
def32270e69f5c04f3bd60740964cdd5,20151,3.0,0.0,5.1,0.0,2.6,0.0,NÃO PRESENTE
8d1d97ed80b1abdcf861a15493556c52,20151,1.1,0.0,3.4,0.0,4.2,2.0,NÃO PRESENTE
4f676606594e53690b4207b19468a9d1,20151,0.6,0.0,0.3,2.0,0.0,8.0,NÃO PRESENTE
