discente,media_final,numero_total_faltas,descricao
3cfe335b57f215a3484cce85a0f708af,5.2,0.0,NÃO PRESENTE
b00c526b3a53feecfcb0bf4a63e7dd42,6.0,0.0,APROVADO POR NOTA
9f080eb7d474b2f27e9b16c5eeba3b8c,0.1,0.0,NÃO PRESENTE
364ed21cc21a3d851cbfd57a9da30a0f,7.1,0.0,NÃO PRESENTE
0010345ff1be7da25478b5a96c772616,5.4,0.0,NÃO PRESENTE
667289e360153be057e0db138768dec8,9.3,0.0,APROVADO
b799fbf8f68640f072456eec953f1934,6.8,0.0,NÃO PRESENTE
6b2530e2a2589750850a32d1eefd72f9,6.0,0.0,APROVADO POR NOTA
8a77bd82bd822214ebb2f99747fd988b,8.0,0.0,APROVADO POR NOTA
a2ae7dc9912b92875ca68cabd081daea,6.3,0.0,REPROVADO
436567fce0c22347392295fdede96ec8,4.7,0.0,NÃO PRESENTE
828172fe9832854e9ac0a2e5144330d3,8.1,0.0,APROVADO
507386201aa7a996df70cededec34e5f,8.1,0.0,NÃO PRESENTE
0f427461ab5c1a239e9b4bcb94dd7d02,2.2,0.0,NÃO PRESENTE
6200a7c5985cb8834eed8f684e3fe7e8,0.5,0.0,NÃO PRESENTE
095128596c4fe383ade6b4747b20b597,5.6,0.0,NÃO PRESENTE
361c5050d0f66f094d67edeeb09e7c8e,6.0,0.0,NÃO PRESENTE
5b6dd88c5053f46d184ceecbf4cff2d2,5.8,0.0,NÃO PRESENTE
cecf8c26c389d67fd0dd32396b727add,0.0,0.0,NÃO PRESENTE
8dce09240a79ea99680685d547ac4a02,1.0,0.0,NÃO PRESENTE
95dfde9cc8dc68d9fcdfedcc7b348994,0.0,0.0,NÃO PRESENTE
d68cda0f5f5dbaae3e5c4aa032ad4802,5.5,0.0,NÃO PRESENTE
9868861eba9d2caaca8f851618933bbc,8.5,0.0,NÃO PRESENTE
65e548991a2893c3c52b69952e4354d9,0.0,0.0,NÃO PRESENTE
8de724670f738e3c8812c245a9ed9785,1.0,0.0,NÃO PRESENTE
5553f793dde09843a982190361ec51ea,0.0,0.0,NÃO PRESENTE
358f7ec3780109adfbf861414c8ee019,0.0,0.0,NÃO PRESENTE
4f591ad67c2469be04de7d80b3c60627,0.0,0.0,NÃO PRESENTE
0bd74a7a49241add1c5c6be6d3836be0,0.0,0.0,NÃO PRESENTE
b243257222402a9cbc04ec258d993a9c,10.0,0.0,APROVADO
ca832656228c3b3ab5a6ce384859947f,0.0,0.0,NÃO PRESENTE
f87647a280ca1c5798d0ac1c892b57dd,0.4,0.0,NÃO PRESENTE
e27ebf775b85dfcabfbfe3ff1c0fae34,6.4,0.0,NÃO PRESENTE
2e9c80552e050eb591e428cd51af610f,0.0,0.0,NÃO PRESENTE
d35d972900d37a1695c4ddbc3818f004,0.0,0.0,NÃO PRESENTE
93d06775343c1831f13fa05326d9e0a5,2.1,0.0,NÃO PRESENTE
fc92eefe819de039413b2b07d8596f9c,1.9,0.0,NÃO PRESENTE
39eed7229afcc67dedb0ee5b36579545,0.1,0.0,NÃO PRESENTE
d900ab2612fe6cc2fe8e2dcd927560ad,0.0,0.0,NÃO PRESENTE
